url_length,digit_count,special_char_count,has_ip,subdomain_count,has_https,suspicious_tld,domain_age_days,keyword_density,has_password_input,url_entropy,brand_misuse,path_depth,redirect_count,label
37,0,7,0,1,0,0,6366,0,0,3.787,0,1,0,1
77,17,7,0,0,0,0,7783,0,0,4.42,0,3,0,1
126,19,19,0,3,1,0,6019,0,0,4.753,1,2,0,1
18,0,5,0,1,0,0,0,0.2,0,3.461,0,0,0,1
55,0,10,0,1,0,0,0,0,0,4.098,0,2,0,1
32,0,8,0,2,0,0,0,0,0,3.667,0,0,0,1
19,0,5,0,1,0,0,0,0,0,3.261,0,0,0,1
81,21,8,0,1,0,0,0,0,0,4.771,0,3,0,1
42,0,6,0,1,0,0,0,0,0,4.196,0,0,0,1
104,8,18,0,0,1,0,11395,0,0,4.481,0,3,0,1
56,0,9,0,1,1,0,0,0,0,4.345,0,2,0,1
43,8,9,0,1,1,0,0,0,0,4.286,0,1,0,1
83,1,15,0,0,1,0,0,0,0,4.281,0,1,0,1
31,2,6,0,0,0,0,0,0,0,3.849,0,1,0,1
25,0,6,0,1,1,0,0,0,0,3.753,0,0,0,1
51,1,10,0,2,0,0,0,0,0,4.444,0,1,0,1
31,0,6,0,1,1,0,10331,0,0,3.784,0,0,0,1
50,3,8,0,1,0,0,0,0,0,4.174,0,3,0,1
34,0,7,0,1,0,0,0,0,0,4.08,0,1,0,1
27,4,6,0,1,0,0,1135,0.1,0,4.032,0,0,0,1
63,0,13,0,2,0,0,0,0,0,4.076,0,4,0,1
66,0,11,0,1,1,0,0,0.1,0,4.298,0,2,0,1
40,4,8,0,0,0,0,0,0,0,4.394,0,3,0,1
48,0,9,0,0,0,0,0,0,0,4.155,0,2,0,1
126,12,18,0,3,0,0,6019,0,0,4.711,1,2,0,1
41,0,6,0,1,1,0,0,0,0,4.064,0,0,0,1
36,0,6,0,1,1,0,9016,0,0,4.142,0,0,0,1
72,0,15,0,1,0,0,6874,0,0,4.187,0,2,0,1
68,11,9,0,3,0,0,6019,0,0,4.552,1,2,0,1
163,65,23,0,1,0,0,0,0,0,4.803,0,1,0,1
26,0,6,0,1,0,0,3198,0,1,3.921,0,0,0,1
64,22,7,0,1,0,0,3253,0,0,4.592,0,2,0,1
36,9,8,0,3,0,0,0,0,0,4.239,0,0,0,1
61,0,10,0,0,0,0,5795,0,0,4.086,0,4,0,1
66,14,9,0,1,1,0,0,0,0,4.951,0,2,0,1
35,0,6,0,1,1,0,0,0,0,4.069,0,0,0,1
113,0,19,0,0,0,0,0,0,0,4.421,0,8,0,1
41,0,9,0,1,0,0,0,0,0,3.647,0,0,0,1
23,0,7,0,1,0,0,0,0,0,3.642,0,1,0,1
31,0,6,0,1,0,0,0,0,0,4.039,0,0,0,1
84,0,12,0,0,0,0,0,0,0,4.236,1,5,0,1
29,0,6,0,1,0,0,0,0,0,4.047,0,1,0,1
98,29,14,0,1,0,0,4328,0,0,4.825,0,6,0,1
15,0,4,0,0,0,0,0,0,0,3.19,0,0,0,1
65,0,11,0,1,0,0,0,0,0,4.309,0,2,0,1
131,4,19,0,1,1,0,0,0,0,5.243,0,5,0,1
50,0,8,0,1,1,0,0,0,0,4.191,0,2,0,1
51,0,7,0,1,0,0,0,0,0,4.288,1,1,0,1
45,6,9,0,1,1,0,10359,0,0,4.322,0,3,0,1
159,43,16,0,0,0,0,0,0,0,4.917,0,6,0,1
44,10,8,0,1,1,0,4768,0,0,4.618,0,1,0,1
103,8,12,0,1,1,0,0,0,0,5.208,0,1,0,1
46,0,10,0,2,0,0,9829,0,0,4.013,0,3,0,1
45,0,8,0,1,1,0,0,0,0,4.144,0,2,0,1
51,0,9,0,2,0,0,0,0,0,4.032,0,2,0,1
38,0,8,0,1,0,0,0,0,0,3.893,0,2,0,1
81,23,8,0,1,0,0,7783,0,0,4.775,0,3,0,1
112,0,17,0,1,0,0,0,0,0,4.31,0,2,0,1
39,0,7,0,1,1,0,0,0,1,3.923,1,2,0,1
99,8,14,0,1,1,0,0,0,0,5.235,1,5,0,1
45,0,7,0,1,1,0,9016,0,0,4.225,0,1,0,1
60,2,11,0,3,0,0,7643,0,0,4.129,0,2,0,1
74,6,17,0,1,0,0,0,0,0,4.635,0,8,0,1
61,0,11,0,1,0,0,0,0,0,4.079,0,2,0,1
40,5,7,0,3,1,0,7643,0,0,4.215,0,0,0,1
52,2,8,0,1,0,0,0,0,0,4.379,0,2,0,1
88,0,15,0,2,1,0,0,0,1,4.326,1,2,0,1
74,2,10,0,0,0,0,7904,0,0,4.186,0,2,0,1
46,3,9,0,1,0,0,4660,0,0,4.469,0,2,0,1
54,0,8,0,1,0,0,0,0,0,4.368,0,2,0,1
54,0,9,0,0,0,0,0,0,0,4.234,0,3,0,1
38,0,8,0,1,1,0,0,0,0,4.238,1,2,0,1
67,0,11,0,1,0,0,0,0.1,0,4.361,0,3,0,1
62,0,14,0,0,0,0,0,0,0,4.35,0,5,0,1
59,4,10,0,0,0,0,0,0,0,4.343,0,4,0,1
57,1,8,0,2,1,0,3274,0,0,4.166,0,1,0,1
32,0,7,0,0,0,0,0,0,0,3.929,0,1,0,1
46,0,8,0,1,0,0,103,0,0,3.961,0,2,0,1
37,0,7,0,1,1,0,0,0,0,4.003,0,2,0,1
36,1,5,0,1,0,0,0,0,0,4.062,0,0,0,1
52,2,10,0,0,0,0,0,0,0,4.188,0,5,0,1
32,8,6,0,1,0,0,0,0,0,3.843,0,0,0,1
34,0,5,0,0,1,0,0,0,0,3.837,0,1,0,1
27,0,7,0,2,0,0,0,0,0,3.624,0,0,0,1
92,28,12,0,1,0,0,0,0,0,4.706,0,5,0,1
102,6,17,0,1,0,0,0,0,0,4.822,0,4,0,1
32,0,6,0,1,1,0,4305,0,0,4.007,0,0,0,1
29,0,6,0,1,1,0,0,0,0,3.854,0,0,0,1
119,1,18,0,1,0,0,0,0,0,4.541,0,7,0,1
59,4,9,0,1,1,0,0,0,0,4.349,0,4,0,1
54,0,8,0,0,0,0,6882,0,0,4.234,0,1,0,1
151,41,9,0,0,0,0,0,0,0,5.118,0,1,0,1
84,3,14,0,1,0,0,6124,0,0,4.355,0,3,0,1
55,0,11,0,1,0,0,0,0,0,4.381,1,4,0,1
18,0,5,0,0,1,0,0,0,0,3.308,0,0,0,1
39,0,6,0,1,1,0,0,0,0,4.06,0,1,0,1
28,0,7,0,1,1,0,0,0.1,0,3.896,0,0,0,1
32,0,8,0,1,0,0,7940,0,0,3.843,0,1,0,1
16,0,4,0,0,0,0,0,0,0,3.5,0,0,0,1
23,0,6,0,0,0,0,6169,0,0,3.708,0,1,0,1
29,0,7,0,2,0,0,0,0,0,3.995,0,0,0,1
29,0,6,0,1,1,0,0,0,0,3.926,0,0,0,1
41,0,7,0,1,1,0,0,0,0,4.111,0,2,0,1
22,4,5,0,0,1,0,6478,0,0,4.027,0,1,0,1
52,2,10,0,1,0,0,0,0,0,4.635,0,3,0,1
38,1,10,0,1,0,0,0,0,0,3.918,0,3,0,1
30,0,7,0,2,1,0,0,0.2,0,4.006,0,0,0,1
76,8,10,0,3,0,0,6019,0,0,4.41,1,2,0,1
430,17,99,1,2,0,0,0,0,0,4.715,1,2,0,1
37,0,6,0,1,0,0,6852,0,0,3.848,0,1,0,1
73,5,12,0,1,0,0,0,0,0,4.386,1,1,0,1
56,6,11,0,1,0,0,0,0,0,4.733,0,2,0,1
70,0,14,0,0,1,0,0,0,0,4.388,0,3,0,1
70,0,10,0,1,0,0,9829,0,0,4.426,0,3,0,1
52,4,9,0,1,0,0,0,0,0,4.388,0,3,0,1
